E	I	E	I	E	I	E	I	E	I	E	I
V	nA	V	nA	V	nA	V	nA	V	nA	V	nA
	Sine 1 mHz		Sine 5 mHz		Sine 10 mHz		Sine 50 mHz		Sine 100 mHz		Sine 200 mHz
0.3781	79.73433	-0.38614	-93.60287	-0.38614	-93.79674						
											
0.3755	78.88603	-0.38	-91.52353	-0.38	-91.87629						
											
0.37284	78.12475	-0.3735	-89.33284	-0.3735	-89.84061						
											
0.37012	77.25046	-0.36662	-87.01876	-0.36662	-87.63561						
											
0.36734	76.39186	-0.35938	-84.62356	-0.35938	-85.37338						
											
0.3645	75.51121	-0.35179	-82.09077	-0.35179	-82.95439						
											
0.3616	74.62421	-0.34385	-79.44911	-0.34385	-80.44489						
											
0.35865	73.68824	-0.33557	-76.73146	-0.33557	-77.80244						
											
0.35564	72.67941	-0.32696	-73.94305	-0.32696	-75.07755						
											
0.35258	71.72592	-0.31803	-71.08271	-0.31803	-72.25802						
											
0.34946	70.80632	-0.30878	-68.13268	-0.30878	-69.34487						
											
0.34628	69.859	-0.29923	-65.10123	-0.29923	-66.37747						
											
0.34305	68.84434	-0.28938	-62.01641	-0.28938	-63.33431						
											
0.33976	67.92464	-0.27925	-58.89106	-0.27925	-60.24092						
											
0.33643	66.92012	-0.26884	-55.68683	-0.26884	-57.08412						
											
0.33303	65.84905	-0.25817	-52.45527	-0.25817	-53.86025						
											
0.32959	64.86025	-0.24724	-49.19834	-0.24724	-50.6161						
											
0.32609	63.76246	-0.23607	-45.95244	-0.23607	-47.37778						
											
0.32255	62.70731	-0.22467	-42.71366	-0.22467	-44.0899						
											
0.31895	61.61582	-0.21304	-39.49739	-0.21304	-40.83407						
											
0.3153	60.56878	-0.2012	-36.2938	-0.2012	-37.5778						
											
0.3116	59.54467	-0.18917	-33.08793	-0.18917	-34.30324						
											
0.30785	58.4441	-0.17694	-29.85098	-0.17694	-30.91182						
											
0.30405	57.32832	-0.16455	-26.58602	-0.16455	-27.54393						
											
0.30021	56.24296	-0.15199	-23.51068	-0.15199	-24.51981						
											
0.29632	55.10112	-0.13928	-20.6968	-0.13928	-21.71614						
											
0.29238	53.99624	-0.12643	-18.09484	-0.12643	-19.05486						
											
0.28839	52.87186	-0.11346	-15.64764	-0.11346	-16.53127						
											
