E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	15.4 mHz		26.0 mHz		55.6 mHz		1.7 mHz		0.55 mHz
								-0.166	-2.54847E-9
								-0.164	-2.50542E-9
								-0.162	-2.46244E-9
								-0.16	-2.42387E-9
								-0.158	-2.3888E-9
								-0.156	-2.34566E-9
								-0.154	-2.31402E-9
								-0.152	-2.27056E-9
								-0.15	-2.23144E-9
								-0.148	-2.19777E-9
								-0.146	-2.1674E-9
								-0.144	-2.12116E-9
								-0.142	-2.08927E-9
								-0.14	-2.03993E-9
								-0.138	-2.00184E-9
								-0.136	-1.95836E-9
								-0.134	-1.92092E-9
								-0.132	-1.87679E-9
								-0.13	-1.84048E-9
								-0.128	-1.81212E-9
								-0.126	-1.77582E-9
								-0.124	-1.73338E-9
								-0.122	-1.6984E-9
								-0.12	-1.66989E-9
								-0.118	-1.62991E-9
								-0.116	-1.5912E-9
								-0.114	-1.55395E-9
								-0.112	-1.4879E-9
								-0.11	-1.45642E-9
								-0.108	-1.42151E-9
								-0.106	-1.38617E-9
								-0.104	-1.35491E-9
								-0.102	-1.31493E-9
								-0.1	-1.28387E-9
								-0.098	-1.25288E-9
								-0.096	-1.22276E-9
								-0.094	-1.18653E-9
								-0.092	-1.15625E-9
								-0.09	-1.12354E-9
								-0.088	-1.08719E-9
								-0.086	-1.05811E-9
								-0.084	-1.02746E-9
								-0.082	-9.71331E-10
								-0.08	-9.6374E-10
								-0.078	-9.29978E-10
								-0.076	-8.98015E-10
								-0.074	-8.64998E-10
								-0.072	-8.36436E-10
								-0.07	-8.04731E-10
								-0.068	-7.72374E-10
								-0.066	-7.41913E-10
								-0.064	-7.1117E-10
								-0.062	-6.80764E-10
								-0.06	-6.52394E-10
								-0.058	-6.22983E-10
								-0.056	-5.95122E-10
								-0.054	-5.6507E-10
								-0.052	-5.37228E-10
								-0.05	-5.09794E-10
								-0.048	-4.83417E-10
								-0.046	-4.56764E-10
								-0.044	-4.31564E-10
								-0.042	-4.07897E-10
								-0.04	-3.83764E-10
								-0.038	-3.60669E-10
								-0.036	-3.36673E-10
								-0.034	-3.14297E-10
								-0.032	-2.91359E-10
								-0.03	-2.6918E-10
								-0.028	-2.47633E-10
								-0.026	-2.25077E-10
								-0.024	-2.04986E-10
								-0.022	-1.83987E-10
								-0.02	-1.6325E-10
								-0.018	-1.43262E-10
								-0.016	-1.23074E-10
								-0.014	-1.03367E-10
								-0.012	-8.4087E-11
								-0.01	-6.36853E-11
								-0.008	-4.40737E-11
								-0.006	-2.46988E-11
								-0.004	-5.78152E-12
								-0.002	1.33794E-11
								0	3.21528E-11
