E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	15.4 mHz		26.0 mHz		55.6 mHz		1.7 mHz		0.55 mHz
						0.198	8.7112E-9	0.436	3.25535E-8
						0.192	8.1837E-9	0.438	3.26793E-8
						0.186	7.69231E-9	0.44	3.31602E-8
						0.18	7.24034E-9	0.442	3.34003E-8
						0.174	6.78483E-9	0.444	3.35897E-8
						0.168	6.38262E-9	0.446	3.38395E-8
						0.162	5.9932E-9	0.448	3.42271E-8
						0.156	5.6075E-9	0.45	3.43706E-8
						0.15	5.2465E-9	0.452	3.47015E-8
						0.144	4.87706E-9	0.454	3.50098E-8
						0.138	4.54245E-9	0.456	3.55866E-8
						0.132	4.22307E-9	0.458	3.56675E-8
						0.126	3.94789E-9	0.46	3.60319E-8
						0.12	3.68485E-9	0.462	3.63302E-8
						0.114	3.42079E-9	0.464	3.65124E-8
						0.108	3.15943E-9	0.466	3.68687E-8
						0.102	2.92482E-9	0.468	3.70981E-8
						0.096	2.70196E-9	0.47	3.71891E-8
						0.09	2.47185E-9	0.472	3.7712E-8
						0.084	2.2534E-9	0.474	3.81648E-8
						0.078	2.04451E-9	0.476	3.84514E-8
						0.072	1.84662E-9	0.478	3.87069E-8
						0.066	1.64666E-9	0.48	3.89785E-8
						0.06	1.46455E-9	0.482	3.92064E-8
						0.054	1.28393E-9	0.484	3.93419E-8
						0.048	1.10935E-9	0.486	3.96795E-8
						0.042	9.1037E-10	0.488	3.98359E-8
						0.036	7.66617E-10	0.49	3.99225E-8
						0.03	6.13775E-10	0.492	4.02155E-8
						0.024	4.62943E-10	0.494	4.03223E-8
						0.018	3.25603E-10	0.496	4.08317E-8
						0.012	1.96094E-10	0.498	4.1165E-8
						0.006	7.55496E-11	0.5	4.12724E-8
						0	-4.10201E-11	0.502	4.15527E-8
						-0.006	-1.47124E-10	0.504	4.18544E-8
						-0.012	-2.52398E-10	0.506	4.20893E-8
						-0.018	-3.52354E-10	0.508	4.24681E-8
						-0.024	-4.4877E-10	0.51	4.26946E-8
						-0.03	-5.41289E-10	0.512	4.29578E-8
						-0.036	-6.28808E-10	0.514	4.31851E-8
						-0.042	-7.12335E-10	0.516	4.33943E-8
						-0.048	-7.93519E-10	0.518	4.37836E-8
						-0.054	-8.69946E-10	0.52	4.41841E-8
						-0.06	-9.33876E-10	0.522	4.44055E-8
						-0.066	-1.01114E-9	0.524	4.4531E-8
						-0.072	-1.08819E-9	0.526	4.4604E-8
						-0.078	-1.16528E-9	0.528	4.49696E-8
						-0.084	-1.24507E-9	0.53	4.51677E-8
						-0.09	-1.32123E-9	0.532	4.5203E-8
						-0.096	-1.39872E-9	0.534	4.56774E-8
						-0.102	-1.47829E-9	0.536	4.56089E-8
						-0.108	-1.55831E-9	0.538	4.61466E-8
						-0.114	-1.63564E-9	0.54	4.64272E-8
						-0.12	-1.72166E-9	0.542	4.66265E-8
						-0.126	-1.80361E-9	0.544	4.69688E-8
						-0.132	-1.88758E-9	0.546	4.70548E-8
						-0.138	-1.97731E-9	0.548	4.73283E-8
						-0.144	-2.0658E-9	0.55	4.75025E-8
						-0.15	-2.15858E-9	0.552	4.79022E-8
						-0.156	-2.24903E-9	0.554	4.82516E-8
						-0.162	-2.34937E-9	0.556	4.87851E-8
						-0.168	-2.44971E-9	0.558	4.90357E-8
						-0.174	-2.55064E-9	0.56	4.92088E-8
						-0.18	-2.65503E-9	0.562	4.94003E-8
						-0.186	-2.77114E-9	0.564	4.97497E-8
						-0.192	-2.88736E-9	0.566	4.97536E-8
						-0.198	-3.01104E-9	0.568	5.00365E-8
						-0.204	-3.14115E-9	0.57	5.03762E-8
						-0.21	-3.2757E-9	0.572	5.05675E-8
						-0.216	-3.41779E-9	0.574	5.06489E-8
						-0.222	-3.57622E-9	0.576	5.12278E-8
						-0.228	-3.76785E-9	0.578	5.15769E-8
						-0.234	-4.18096E-9	0.58	5.19442E-8
						-0.24	-4.40994E-9	0.582	5.21489E-8
						-0.246	-4.55243E-9	0.584	5.23529E-8
						-0.252	-4.80056E-9	0.586	5.27224E-8
						-0.258	-4.93274E-9	0.588	5.3442E-8
						-0.264	-5.11937E-9	0.59	5.32726E-8
						-0.27	-5.21564E-9	0.592	5.34005E-8
						-0.276	-5.40207E-9	0.594	5.40753E-8
						-0.282	-5.61679E-9	0.596	5.4471E-8
						-0.288	-5.81894E-9	0.598	5.49536E-8
						-0.294	-6.03374E-9	0.6	5.49578E-8
						-0.3	-6.2975E-9	0.602	5.52222E-8
						-0.306	-6.48171E-9	0.604	5.54133E-8
						-0.312	-6.71681E-9	0.606	5.55872E-8
						-0.318	-6.85301E-9	0.608	5.59973E-8
						-0.324	-7.12083E-9	0.61	5.62346E-8
						-0.33	-7.38718E-9	0.612	5.65973E-8
						-0.336	-7.60758E-9	0.614	5.68685E-8
						-0.342	-7.88841E-9	0.616	5.74695E-8
						-0.348	-8.16572E-9	0.618	5.77683E-8
						-0.354	-8.46345E-9	0.62	5.78748E-8
						-0.36	-8.71443E-9	0.622	5.82352E-8
						-0.366	-9.01098E-9	0.624	5.86458E-8
						-0.372	-9.34011E-9	0.626	5.88038E-8
						-0.378	-9.61348E-9	0.628	5.94492E-8
						-0.384	-9.93893E-9	0.63	5.94002E-8
						-0.39	-1.02115E-8	0.632	5.97074E-8
						-0.396	-1.06144E-8	0.634	6.05134E-8
						-0.402	-1.09047E-8	0.636	6.06219E-8
						-0.408	-1.12826E-8	0.638	6.09593E-8
						-0.414	-1.14866E-8	0.64	6.12993E-8
						-0.42	-1.20368E-8	0.642	6.16191E-8
						-0.426	-1.23955E-8	0.644	6.19866E-8
						-0.432	-1.27213E-8	0.646	6.22755E-8
						-0.438	-1.3155E-8	0.648	6.24974E-8
						-0.444	-1.36077E-8	0.65	6.24868E-8
						-0.45	-1.40788E-8	0.652	6.28203E-8
						-0.456	-1.46031E-8	0.654	6.32003E-8
						-0.462	-1.51093E-8	0.656	6.35772E-8
						-0.468	-1.56936E-8	0.658	6.38505E-8
						-0.474	-1.63025E-8	0.66	6.42503E-8
						-0.48	-1.6836E-8	0.662	6.46062E-8
						-0.486	-1.73086E-8	0.664	6.50745E-8
						-0.492	-1.7906E-8	0.666	6.51804E-8
						-0.498	-1.82384E-8	0.668	6.55327E-8
						-0.504	-1.86947E-8	0.67	6.5932E-8
						-0.51	-1.90791E-8	0.672	6.60643E-8
						-0.516	-1.94931E-8	0.674	6.63895E-8
						-0.522	-1.99184E-8	0.676	6.68098E-8
						-0.528	-2.03684E-8	0.678	6.73986E-8
						-0.534	-2.07395E-8	0.68	6.78559E-8
						-0.54	-2.1153E-8	0.682	6.81837E-8
						-0.546	-2.19183E-8	0.684	6.8329E-8
						-0.552	-2.23767E-8	0.686	6.85026E-8
						-0.558	-2.26643E-8	0.688	6.88934E-8
						-0.564	-2.29763E-8	0.69	6.91994E-8
						-0.57	-2.35753E-8	0.692	6.95317E-8
						-0.576	-2.40735E-8	0.694	6.99859E-8
						-0.582	-2.45142E-8	0.696	7.05165E-8
						-0.588	-2.49679E-8	0.698	7.0317E-8
						-0.594	-2.55651E-8	0.7	7.04208E-8
						-0.6	-2.59022E-8	0.702	7.14991E-8
						-0.606	-2.6473E-8	0.704	7.15952E-8
