E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	1 mHz		9 mHz		81 mHz		95 mHz		112 mHz

0.352	8.99649E-8								
0.354	9.12237E-8								
0.356	9.26379E-8								
0.358	9.41678E-8								
0.36	9.549E-8								
0.362	9.71901E-8								
0.364	9.87293E-8								
0.366	1.00148E-7								
0.368	1.01991E-7								
0.37	1.03805E-7								
0.372	1.05507E-7								
0.374	1.07211E-7								
0.376	1.08705E-7								
0.378	1.1026E-7								
0.38	1.11841E-7								
0.382	1.13201E-7								
0.384	1.14754E-7								
0.386	1.16098E-7								
0.388	1.17424E-7								
0.39	1.19045E-7								
0.392	1.20383E-7								
0.394	1.21844E-7								
0.396	1.23497E-7								
0.398	1.24986E-7								
0.4	1.2648E-7								
0.4	1.26977E-7								
0.398	1.26014E-7								
0.396	1.24746E-7								
0.394	1.23627E-7								
0.392	1.22553E-7								
0.39	1.21348E-7								
0.388	1.20045E-7								
0.386	1.18792E-7								
0.384	1.17569E-7								
0.382	1.16403E-7								
0.38	1.14874E-7								
0.378	1.13727E-7								
0.376	1.12447E-7								
0.374	1.11157E-7								
0.372	1.09804E-7								
0.37	1.08443E-7								
0.368	1.07283E-7								
0.366	1.06004E-7								
0.364	1.04813E-7								
0.362	1.03205E-7								
0.36	1.01544E-7								
0.358	9.99984E-8								
0.356	9.87122E-8								
0.354	9.76193E-8								
0.352	9.66488E-8								
0.35	9.559E-8								
0.348	9.41772E-8								
0.346	9.28473E-8								
0.344	9.18581E-8								
0.342	9.06991E-8								
0.34	8.94909E-8								
0.338	8.84359E-8								
0.336	8.73351E-8								
0.334	8.60881E-8								
0.332	8.48553E-8								
0.33	8.37402E-8								
0.328	8.27938E-8								
0.326	8.17051E-8								
0.324	8.06124E-8								
0.322	7.94982E-8								
0.32	7.84439E-8								
0.318	7.73529E-8								
0.316	7.62446E-8								
0.314	7.51883E-8								
0.312	7.40864E-8								
0.31	7.29015E-8								
0.308	7.16168E-8								
0.306	7.0516E-8								
0.304	6.93837E-8								
0.302	6.79848E-8								
0.3	6.68404E-8								
0.298	6.56855E-8								
0.296	6.44993E-8								
0.294	6.34501E-8								
0.292	6.23397E-8								
0.29	6.12763E-8								
0.288	6.02071E-8								
0.286	5.92583E-8								
0.284	5.83074E-8								
0.282	5.73554E-8								
0.28	5.64255E-8								
0.278	5.55406E-8								
0.276	5.46275E-8								
0.274	5.37941E-8								
0.272	5.28752E-8								
0.27	5.20197E-8								
0.268	5.11149E-8								
0.266	5.02733E-8								
0.264	4.94622E-8								
0.262	4.8625E-8								
0.26	4.77663E-8								
0.258	4.6868E-8								
0.256	4.58992E-8								
0.254	4.4992E-8								
0.252	4.40598E-8								
0.25	4.31567E-8								
0.248	4.22206E-8								
0.246	4.12313E-8								
0.244	4.00817E-8								
0.242	3.85036E-8								
0.24	3.20632E-8								
