Potential	Current	E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A	V	A
	3.2 mHz		8 mHz		16 mHz		32.5 mHz		73.5 mHz		165 mHz
0.20799	3.36141E-9	-0.01499	-3.13903E-10								
0.20999	3.38758E-9	-0.01999	-4.10749E-10								
0.21199	3.39278E-9	-0.02499	-5.09988E-10								
0.21399	3.40176E-9	-0.02999	-6.12035E-10								
0.21599	3.4204E-9	-0.03499	-7.145E-10								
0.218	3.43087E-9	-0.03999	-8.12273E-10								
0.22	3.43321E-9	-0.04499	-9.17974E-10								
0.22201	3.43411E-9	-0.04999	-1.03181E-9								
0.22398	3.43899E-9	-0.05499	-1.1369E-9								
0.22598	3.48515E-9	-0.05999	-1.25004E-9								
0.22798	3.47509E-9	-0.06499	-1.35441E-9								
0.22998	3.48319E-9	-0.06999	-1.4682E-9								
0.23199	3.49389E-9	-0.07499	-1.58744E-9								
0.23399	3.51194E-9	-0.07999	-1.6963E-9								
0.23599	3.53634E-9	-0.08499	-1.81847E-9								
0.238	3.55082E-9	-0.08999	-1.92366E-9								
0.24	3.56056E-9	-0.09499	-2.05037E-9								
0.24201	3.58141E-9	-0.09999	-2.16859E-9								
0.24401	3.5822E-9	-0.10499	-2.29214E-9								
0.24598	3.6151E-9	-0.10999	-2.41761E-9								
0.24798	3.62161E-9	-0.11499	-2.55566E-9								
0.24998	3.62825E-9	-0.11999	-2.69156E-9								
0.24998	3.62461E-9	-0.12499	-2.81893E-9								
0.24798	3.58117E-9	-0.12999	-2.9443E-9								
0.24598	3.54805E-9	-0.13499	-3.07816E-9								
0.24401	3.51556E-9	-0.13999	-3.20066E-9								
0.242	3.49778E-9	-0.14498	-3.34711E-9								
0.23999	3.45498E-9	-0.14999	-3.47744E-9								
0.23799	3.42231E-9	-0.15498	-3.60732E-9								
0.23598	3.39116E-9	-0.15998	-3.75199E-9								
0.23398	3.35919E-9	-0.16498	-3.90135E-9								
0.23198	3.33576E-9	-0.16998	-4.05343E-9								
0.22997	3.30321E-9	-0.17498	-4.19758E-9								
0.22798	3.27548E-9	-0.17998	-4.39171E-9								
0.22598	3.24947E-9	-0.18497	-4.54104E-9								
0.22397	3.21878E-9	-0.18997	-4.73287E-9								
0.222	3.1839E-9	-0.19497	-4.90159E-9								
0.22	3.17239E-9	-0.19998	-5.06172E-9								
0.218	3.14417E-9	-0.20496	-5.24278E-9								
0.216	3.12454E-9	-0.20996	-5.45161E-9								
0.214	3.09839E-9	-0.21497	-5.61247E-9								
0.21199	3.06651E-9	-0.21999	-5.81966E-9								
0.20999	3.02948E-9	-0.22496	-6.01995E-9								
0.20799	3.00931E-9	-0.22996	-6.18466E-9								
0.20598	2.96722E-9	-0.23497	-6.36334E-9								
0.20397	2.95532E-9	-0.23999	-6.56065E-9								
0.20198	2.92503E-9	-0.245	-6.76774E-9								
0.20002	2.88734E-9	-0.24996	-6.96035E-9								
0.19803	2.86666E-9	-0.24997	-7.01606E-9								
0.19602	2.83709E-9	-0.24499	-6.88873E-9								
0.19402	2.82102E-9	-0.23999	-6.7536E-9								
0.19202	2.80196E-9	-0.23497	-6.62114E-9								
0.19002	2.78857E-9	-0.22996	-6.49428E-9								
0.18802	2.74079E-9	-0.22496	-6.34099E-9								
0.18602	2.70965E-9	-0.21999	-6.19972E-9								
0.18402	2.68292E-9	-0.21498	-6.06862E-9								
0.18203	2.67624E-9	-0.20998	-5.9251E-9								
0.18002	2.64119E-9	-0.20497	-5.78043E-9								
0.17802	2.62745E-9	-0.19999	-5.61983E-9								
0.17602	2.6001E-9	-0.19498	-5.46476E-9								
0.17402	2.57611E-9	-0.18998	-5.31478E-9								
0.17202	2.53259E-9	-0.18498	-5.17271E-9								
0.17002	2.48832E-9	-0.17999	-5.02485E-9								
0.16802	2.4525E-9	-0.17499	-4.8763E-9								
0.16602	2.43465E-9	-0.16999	-4.73006E-9								
0.16402	2.40308E-9	-0.16498	-4.55278E-9								
0.16202	2.37781E-9	-0.15999	-4.40891E-9								
0.16002	2.36151E-9	-0.15499	-4.27057E-9								
0.15802	2.34396E-9	-0.14999	-4.13326E-9								
0.15602	2.29482E-9	-0.14499	-3.98077E-9								
0.15403	2.28792E-9	-0.13999	-3.84423E-9								
0.15203	2.26921E-9	-0.13499	-3.68007E-9								
0.15003	2.22384E-9	-0.12999	-3.54919E-9								
0.14803	2.20995E-9	-0.12499	-3.40242E-9								
0.14603	2.19878E-9	-0.11999	-3.26628E-9								
0.14403	2.16716E-9	-0.11499	-3.11149E-9								
0.14203	2.1536E-9	-0.10999	-2.96488E-9								
0.14002	2.12477E-9	-0.10499	-2.82198E-9								
0.13802	2.1019E-9	-0.09999	-2.6793E-9								
0.13603	2.08108E-9	-0.09499	-2.5385E-9								
0.13403	2.03515E-9	-0.08999	-2.39372E-9								
0.13202	2.01218E-9	-0.08499	-2.24495E-9								
0.13003	1.98083E-9	-0.08	-2.10739E-9								
0.12803	1.96513E-9	-0.07499	-1.97217E-9								
0.12603	1.92997E-9	-0.07	-1.83976E-9								
0.12403	1.91297E-9	-0.06499	-1.70416E-9								
0.12204	1.87394E-9	-0.05999	-1.56525E-9								
0.12004	1.8554E-9	-0.055	-1.42937E-9								
0.11804	1.82859E-9	-0.04999	-1.29483E-9								
0.11604	1.80628E-9	-0.04499	-1.16137E-9								
0.11403	1.77177E-9	-0.03999	-1.0332E-9								
0.11203	1.7496E-9	-0.03498	-9.02228E-10								
0.11003	1.7315E-9	-0.02999	-7.74997E-10								
0.10803	1.69715E-9	-0.02499	-6.4845E-10								
0.10602	1.67729E-9	-0.01999	-5.21559E-10								
0.10402	1.65759E-9	-0.01499	-3.94949E-10								
0.10202	1.63079E-9	-0.00999	-2.70503E-10								
0.10002	1.60247E-9	-0.00499	-1.47523E-10								
0.09802	1.56644E-9										
0.09602	1.5325E-9										
0.09402	1.51062E-9										
0.09202	1.48683E-9										
0.09002	1.45054E-9										
0.08803	1.42647E-9										
0.08603	1.39433E-9										
0.08403	1.35641E-9										
0.08202	1.33528E-9										
0.08003	1.3043E-9										
0.07803	1.2753E-9										
0.07603	1.25225E-9										
0.07403	1.21853E-9										
0.07203	1.18859E-9										
0.07003	1.16586E-9										
0.06803	1.12925E-9										
0.06603	1.10214E-9										
0.06403	1.06841E-9										
0.06203	1.03272E-9										
0.06003	9.98925E-10										
0.05803	9.69305E-10										
0.05603	9.40675E-10										
0.05403	9.0558E-10										
0.05203	8.76492E-10										
0.05003	8.4622E-10										
0.04803	8.13539E-10										
0.04603	7.84566E-10										
0.04403	7.46944E-10										
0.04203	7.17398E-10										
0.04003	6.84569E-10										
0.03803	6.53124E-10										
0.03603	6.17771E-10										
0.03403	5.87027E-10										
0.03203	5.5199E-10										
0.03003	5.17536E-10										
0.02803	4.80632E-10										
0.02603	4.43828E-10										
0.02403	4.09311E-10										
0.02203	3.73749E-10										
0.02002	3.39894E-10										
0.01802	3.03538E-10										
0.01602	2.68686E-10										
0.01403	2.31651E-10										
0.01202	1.94554E-10										
0.01002	1.58613E-10										
0.00801	1.22414E-10										
0.00602	8.54492E-11										
0.00402	4.84991E-11										
0.00202	1.10626E-11										
1.94073E-5	-2.64239E-11										
-0.00198	-6.49858E-11										
-0.00398	-1.02804E-10										
-0.00598	-1.4122E-10										
-0.00798	-1.79942E-10										
-0.00998	-2.20269E-10										
-0.01198	-2.58528E-10										
-0.01398	-2.99045E-10										
-0.01599	-3.38494E-10										
-0.01799	-3.80408E-10										
-0.01999	-4.21113E-10										
-0.02199	-4.60446E-10										
-0.02399	-4.99434E-10										
-0.02598	-5.40409E-10										
-0.02798	-5.80515E-10										
-0.02999	-6.23752E-10										
-0.03199	-6.65133E-10										
-0.03399	-7.05838E-10										
-0.03599	-7.4973E-10										
-0.03799	-7.90206E-10										
-0.03999	-8.39139E-10										
-0.04199	-8.76986E-10										
-0.04399	-9.22552E-10										
-0.046	-9.63832E-10										
-0.048	-1.01378E-9										
-0.04999	-1.05596E-9										
-0.05199	-1.10738E-9										
-0.05399	-1.14798E-9										
-0.05599	-1.19338E-9										
-0.05799	-1.23977E-9										
-0.05999	-1.29141E-9										
-0.06199	-1.33509E-9										
-0.06399	-1.38552E-9										
-0.06599	-1.4307E-9										
-0.06799	-1.47943E-9										
-0.06999	-1.52842E-9										
-0.07199	-1.57283E-9										
-0.07399	-1.62892E-9										
-0.07599	-1.67162E-9										
-0.07799	-1.71812E-9										
-0.07999	-1.76691E-9										
-0.08199	-1.81473E-9										
-0.084	-1.86244E-9										
-0.086	-1.91139E-9										
-0.088	-1.9674E-9										
-0.08999	-2.01785E-9										
-0.09199	-2.06418E-9										
-0.094	-2.11662E-9										
-0.09599	-2.17072E-9										
-0.09799	-2.23219E-9										
-0.09999	-2.27496E-9										
-0.10199	-2.32126E-9										
-0.10399	-2.37453E-9										
-0.10599	-2.42858E-9										
-0.10799	-2.47956E-9										
-0.10999	-2.52709E-9										
-0.11199	-2.58644E-9										
-0.11399	-2.64181E-9										
-0.11599	-2.6896E-9										
-0.11799	-2.73194E-9										
-0.11999	-2.79891E-9										
-0.12198	-2.85203E-9										
-0.12398	-2.9015E-9										
-0.12598	-2.96288E-9										
-0.12798	-3.02438E-9										
-0.12999	-3.09133E-9										
-0.13199	-3.15287E-9										
-0.13398	-3.21365E-9										
-0.13599	-3.28633E-9										
-0.13799	-3.34994E-9										
-0.13999	-3.39585E-9										
-0.14199	-3.46596E-9										
-0.14399	-3.52104E-9										
-0.14599	-3.59452E-9										
-0.14799	-3.64441E-9										
-0.14999	-3.69672E-9										
-0.15199	-3.77516E-9										
-0.15399	-3.83686E-9										
-0.15599	-3.89123E-9										
-0.15799	-3.9554E-9										
-0.15998	-4.00982E-9										
-0.16198	-4.07018E-9										
-0.16398	-4.13847E-9										
-0.16598	-4.19815E-9										
-0.16798	-4.27123E-9										
-0.16998	-4.33896E-9										
-0.17199	-4.42058E-9										
-0.17399	-4.47966E-9										
-0.17598	-4.57078E-9										
-0.17798	-4.60259E-9										
-0.17998	-4.69248E-9										
-0.18198	-4.77587E-9										
-0.18398	-4.83903E-9										
-0.18598	-4.9189E-9										
-0.18798	-4.97688E-9										
-0.18998	-5.04732E-9										
-0.19198	-5.10727E-9										
-0.19398	-5.15688E-9										
-0.19598	-5.24338E-9										
-0.19798	-5.30744E-9										
-0.19998	-5.3777E-9										
-0.20199	-5.42915E-9										
-0.20396	-5.505E-9										
-0.20596	-5.5884E-9										
-0.20796	-5.67542E-9										
-0.20996	-5.73843E-9										
-0.21197	-5.81577E-9										
-0.21397	-5.88149E-9										
-0.21598	-5.95585E-9										
-0.21797	-6.00481E-9										
-0.21998	-6.05444E-9										
-0.22199	-6.14204E-9										
-0.22399	-6.18909E-9										
-0.22596	-6.29667E-9										
-0.22796	-6.36308E-9										
-0.22997	-6.42795E-9										
-0.23196	-6.51132E-9										
-0.23397	-6.61021E-9										
-0.23597	-6.69137E-9										
-0.23797	-6.75988E-9										
-0.23998	-6.83142E-9										
-0.24199	-6.93772E-9										
-0.24399	-7.00408E-9										
-0.24599	-7.08849E-9										
-0.24796	-7.15028E-9										
-0.24996	-7.24318E-9										
-0.24996	-7.20414E-9										
-0.24795	-7.19239E-9										
-0.24599	-7.13456E-9										
-0.24399	-7.07542E-9										
-0.24199	-7.03601E-9										
-0.23998	-6.98192E-9										
-0.23797	-6.89886E-9										
-0.23597	-6.86216E-9										
-0.23397	-6.79603E-9										
-0.23197	-6.74377E-9										
-0.22996	-6.70359E-9										
-0.22796	-6.61476E-9										
-0.22595	-6.56689E-9										
-0.22399	-6.52612E-9										
-0.22199	-6.4451E-9										
-0.21998	-6.39992E-9										
-0.21798	-6.32574E-9										
-0.21598	-6.26135E-9										
-0.21397	-6.21837E-9										
-0.21197	-6.12889E-9										
-0.20997	-6.08536E-9										
-0.20797	-6.03785E-9										
-0.20597	-5.96455E-9										
-0.20396	-5.88929E-9										
-0.20199	-5.83942E-9										
-0.19998	-5.78179E-9										
-0.19799	-5.70972E-9										
-0.19599	-5.64027E-9										
-0.19399	-5.59785E-9										
-0.19198	-5.55103E-9										
-0.18999	-5.49002E-9										
-0.18799	-5.424E-9										
-0.18599	-5.36945E-9										
-0.18399	-5.30807E-9										
-0.18199	-5.24193E-9										
-0.17999	-5.17853E-9										
-0.17799	-5.12796E-9										
-0.17599	-5.06197E-9										
-0.17399	-5.00497E-9										
-0.17199	-4.96095E-9										
-0.16999	-4.87744E-9										
-0.168	-4.81605E-9										
-0.16599	-4.75426E-9										
-0.16399	-4.7112E-9										
-0.16199	-4.63801E-9										
-0.15999	-4.58748E-9										
-0.15799	-4.52361E-9										
-0.15599	-4.45391E-9										
-0.15399	-4.40747E-9										
-0.15199	-4.34181E-9										
-0.14999	-4.26572E-9										
-0.14799	-4.21599E-9										
-0.146	-4.14772E-9										
-0.14399	-4.07437E-9										
-0.14199	-3.99819E-9										
-0.13999	-3.94906E-9										
-0.13799	-3.89893E-9										
-0.13599	-3.82637E-9										
-0.13399	-3.78239E-9										
-0.13199	-3.71401E-9										
-0.12999	-3.65427E-9										
-0.12799	-3.60019E-9										
-0.12599	-3.544E-9										
-0.12399	-3.47716E-9										
-0.12199	-3.42375E-9										
-0.11999	-3.36509E-9										
-0.11799	-3.30601E-9										
-0.11599	-3.2462E-9										
-0.114	-3.18318E-9										
-0.112	-3.12937E-9										
-0.11	-3.07429E-9										
-0.108	-3.01269E-9										
-0.10599	-2.95544E-9										
-0.10399	-2.89649E-9										
-0.10199	-2.84249E-9										
-0.09999	-2.78207E-9										
-0.09799	-2.72157E-9										
-0.09598	-2.66432E-9										
-0.09398	-2.61258E-9										
-0.09198	-2.54795E-9										
-0.08998	-2.47379E-9										
-0.08798	-2.41642E-9										
-0.08598	-2.36864E-9										
-0.08398	-2.30111E-9										
-0.08198	-2.24739E-9										
-0.07999	-2.19091E-9										
-0.07799	-2.13261E-9										
-0.07599	-2.07324E-9										
-0.07399	-2.01586E-9										
-0.07198	-1.96538E-9										
-0.06998	-1.90426E-9										
-0.06798	-1.85428E-9										
-0.06598	-1.80489E-9										
-0.06398	-1.74657E-9										
-0.06198	-1.6878E-9										
-0.05998	-1.63309E-9										
-0.05799	-1.57241E-9										
-0.05598	-1.51764E-9										
-0.05398	-1.46026E-9										
-0.05199	-1.40786E-9										
-0.04999	-1.35043E-9										
-0.04799	-1.29582E-9										
-0.04598	-1.23875E-9										
-0.04398	-1.18359E-9										
-0.04199	-1.12818E-9										
-0.03999	-1.07552E-9										
-0.03799	-1.01893E-9										
-0.03599	-9.66283E-10										
-0.03399	-9.1074E-10										
-0.03199	-8.57916E-10										
-0.02999	-8.06179E-10										
-0.02799	-7.50968E-10										
-0.02599	-7.01343E-10										
-0.02399	-6.46675E-10										
-0.02199	-5.96645E-10										
-0.02	-5.43965E-10										
-0.01799	-4.92364E-10										
-0.01599	-4.40024E-10										
-0.01398	-3.87372E-10										
-0.01198	-3.33954E-10										
-0.00998	-2.85078E-10										
-0.00798	-2.34151E-10										
-0.00598	-1.83045E-10										
-0.00398	-1.31538E-10										
-0.00198	-8.13365E-11										
3.53575E-5	-3.05951E-11										
